Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive,Brand_Name,Product,Review Count,URL,Rating,SPF,Acne,Brightening,Hydration,Anti_Aging
treatment,glamglow,gravitymud firming treatment,14.99,4.0,"water, polyvinyl alcohol, alcohol denat., butylene glycol, glycerin, ethylhexyl hydroxystearate, hamamelis virginiana (witch hazel) water, montmorillonite, pentylene glycol, illite, polysorbate 20, canadian colloidal clay, caprylyl glycol, althaea officinalis leaf extract, tapioca starch, chondrus crispus (carrageenan), colloidal platinum, dipotassium glycyrrhizate, alcohol, ascophyllum nodosum powder, polysorbate 80, polymethylsilsesquioxane, hydroxypropyl methylcellulose, citric acid, lecithin, pullulan, porphyridium cruentum extract, soy isoflavones, sodium hyaluronate, xanthan gum, fragrance, coumarin, disodium edta, phenoxyethanol, sorbic acid, potassium sorbate, bismuth oxychloride (ci 77163)",1,1,1,1,0,glamglow gravitymud firming treatment,(1) GLAMGLOW GRAVITYMUD Firming Treatment Mini size 0.5 oz/ 15 g,13,https://www.amazon.com/GLAMGLOW-GRAVITYMUD-Firming-Treatment-Mini/dp/B078H3YTTV/ref=sr_1_11,4.5,0,0,0,1,0
moisturizer,milk makeup,cooling water,6.98,3.8,"water, butylene glycol, bis-peg-18 methyl ether dimethyl silane, sodium stearate, pentylene glycol, isosteareth-2, glycerin, sea water, manganese gluconate, nylon-12, caffeine, phenoxyethanol, chlorphesin, blue 1.",1,1,1,1,1,milk makeup cooling water,"2PCS Milk Water Jelly Tint, Sheer Lip & Cheek Stain Makeup Cooling Water Jelly Tint, Milk Jelly Blush Stick, Moisturizing Buildable Watercolor Finish, Vivid Color - Vegan & Cruelty Free (B#)",13,https://www.amazon.com/Makeup-Cooling-Moisturizing-Buildable-Watercolor/dp/B0D11TW6MZ/ref=sr_1_28,4.0,0,0,0,1,0
moisturizer,milk makeup,cooling water,6.98,3.8,"water, butylene glycol, bis-peg-18 methyl ether dimethyl silane, sodium stearate, pentylene glycol, isosteareth-2, glycerin, sea water, manganese gluconate, nylon-12, caffeine, phenoxyethanol, chlorphesin, blue 1.",1,1,1,1,1,milk makeup cooling water,"3 Colors Milk Cooling Water Jelly Tint,3-in-1 Milk Jelly Blush Lip Gloss,Milk Makeup Water Jelly Tint Stick Lasting Lip Tint Stain,Multi-Use Milk Blush Stick Moistured Lip and Cheek Tint Stain",7,https://www.amazon.com/Colors-Cooling-Lasting-Multi-Use-Moistured/dp/B0D14CXZBR/ref=sr_1_19,4.2,0,0,0,1,0
moisturizer,milk makeup,cooling water,7.98,3.8,"water, butylene glycol, bis-peg-18 methyl ether dimethyl silane, sodium stearate, pentylene glycol, isosteareth-2, glycerin, sea water, manganese gluconate, nylon-12, caffeine, phenoxyethanol, chlorphesin, blue 1.",1,1,1,1,1,milk makeup cooling water,3PCS Milk Cooling Water Jelly Tint Stick Water Tint Milk Jelly Blush Tint Stick Lip and Cheek Stain Multi-Use Jelly Lip Tint Stain Non-sticky Makeup Stick(Pink+Coral+Red),12,https://www.amazon.com/XINGXYUEL-Cooling-Multi-Use-Non-sticky-Makeup/dp/B0CYXVRXD5/ref=sr_1_36,4.4,0,0,0,1,0
moisturizer,milk makeup,cooling water,9.99,3.8,"water, butylene glycol, bis-peg-18 methyl ether dimethyl silane, sodium stearate, pentylene glycol, isosteareth-2, glycerin, sea water, manganese gluconate, nylon-12, caffeine, phenoxyethanol, chlorphesin, blue 1.",1,1,1,1,1,milk makeup cooling water,"4 Colors Milk Jelly Blush Stick Milk Cooling Water Jelly Tint Sheer Cheek Stain Long Lasting Non-sticky Milk Blush Stick Makeup (Pink,Coral,Red,Berry)",1,https://www.amazon.com/AOAZXBB-Colors-Cooling-Lasting-Non-sticky/dp/B0D7Q48QBT/ref=sr_1_11,4.5,0,0,0,1,0
moisturizer,milk makeup,cooling water,13.99,3.8,"water, butylene glycol, bis-peg-18 methyl ether dimethyl silane, sodium stearate, pentylene glycol, isosteareth-2, glycerin, sea water, manganese gluconate, nylon-12, caffeine, phenoxyethanol, chlorphesin, blue 1.",1,1,1,1,1,milk makeup cooling water,"4 Pcs Milk Jelly Blush Stick,Buildable Watercolor Finish Lip and Cheek Makeup Cooling Water Jelly Tint,Vegan & Cruelty Free.（4 Color）",19,https://www.amazon.com/Buildable-Watercolor-Cooling-Cruelty-Free-%EF%BC%884/dp/B0D2R6YG6X/ref=sr_1_26,4.4,0,0,0,1,0
moisturizer,milk makeup,cooling water,11.95,3.8,"water, butylene glycol, bis-peg-18 methyl ether dimethyl silane, sodium stearate, pentylene glycol, isosteareth-2, glycerin, sea water, manganese gluconate, nylon-12, caffeine, phenoxyethanol, chlorphesin, blue 1.",1,1,1,1,1,milk makeup cooling water,"4 Pcs Milk Water Jelly Tint Stick, Sheer Lip & Cheek Stain Makeup Cooling Water Jelly Tint, Milk Jelly Blush Stick, Moisturizing Buildable Watercolor Finish, Vivid Color - Vegan & Cruelty Free",13,https://www.amazon.com/sspa/click,4.6,0,0,0,1,0
moisturizer,milk makeup,cooling water,9.98,3.8,"water, butylene glycol, bis-peg-18 methyl ether dimethyl silane, sodium stearate, pentylene glycol, isosteareth-2, glycerin, sea water, manganese gluconate, nylon-12, caffeine, phenoxyethanol, chlorphesin, blue 1.",1,1,1,1,1,milk makeup cooling water,"4PCS Milk Cooling Water Jelly Tint Milk Jelly Blush Stick Long Lasting Milk Jelly Tint Non-sticky Lip and Cheek Stain Makeup (Pink,Coral,Red,Berry)",6,https://www.amazon.com/AIUEO-Cooling-Lasting-Non-sticky-Makeup/dp/B0D21TWVT2/ref=sr_1_15,4.2,0,0,0,1,0
moisturizer,milk makeup,cooling water,8.98,3.8,"water, butylene glycol, bis-peg-18 methyl ether dimethyl silane, sodium stearate, pentylene glycol, isosteareth-2, glycerin, sea water, manganese gluconate, nylon-12, caffeine, phenoxyethanol, chlorphesin, blue 1.",1,1,1,1,1,milk makeup cooling water,"4PCS Milk Cooling Water Jelly Tint, Jelly Tint Makeup Jelly Blush Stick, Cruelty Free, Milk Jelly Blush, Blush Stick for Cheeks and Lips with Gift",11,https://www.amazon.com/TIRDET-Cooling-Makeup-Cruelty-Cheeks/dp/B0D1K7YCM5/ref=sr_1_8,4.6,0,0,0,1,0
moisturizer,milk makeup,cooling water,9.99,3.8,"water, butylene glycol, bis-peg-18 methyl ether dimethyl silane, sodium stearate, pentylene glycol, isosteareth-2, glycerin, sea water, manganese gluconate, nylon-12, caffeine, phenoxyethanol, chlorphesin, blue 1.",1,1,1,1,1,milk makeup cooling water,"4PCS Milk Cooling Water Jelly Tint, Jelly Tint, Makeup Jelly Blush Stick, Vegan, Milk Jelly Blush, Multi-Use Cheek and Lip Stain, Cruelty Free, Blush Stick for Cheeks and Lips with Gift",2,https://www.amazon.com/TIRDET-Cooling-Makeup-Multi-Use-Cruelty/dp/B0D1TWCX4N/ref=sr_1_40,4.5,0,0,0,1,0
