Cosmetic Products Regulation, Annex II - Prohibited Substances
Note: Group entries are split in different rows.
Export date: 10/10/2024 21:22:23
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Ref No."	"Name"	"EC Number"	"CAS"	"Molecular formula"	"Expressed As"	"Product type, body parts"	"Maximum Threshold"	"Restriction(s)"	"Notes"	
"Safrole"	"202-345-4"	"94-59-7"	"360"	"Safrole"	"202-345-4"	"94-59-7"	""	""	"All cosmetic products except products for dental and oral hygiene"	"100 ppm"	"Not permitted except for normal content in the natural essences used and provided the concentration does not exceed 100 ppm in the finished product"	""	
"Safrole"	"202-345-4"	"94-59-7"	"360"	"Safrole"	"202-345-4"	"94-59-7"	""	""	"Products for dental and oral hygiene"	"50 ppm"	"Not permitted except for normal content in the natural essences used and provided the concentration does not exceed 50 ppm in the finished product and provided that is not present in toothpastes intended for children"	""	
"Trioxysalen"	"223-459-0"	"3902-71-4"	"358"	"Trioxysalen"	"223-459-0"	"3902-71-4"	""	"As all furocoumarines"	"Sun protection products and bronzing products"	"1 mg/kg"	"Not permitted for all products except if occurring in natural essences"	""	
"Furocoumarines"	"-"	"-"	"358"	"Furocoumarines"	""	""	""	"As all furocoumarines"	"Sun protection products and bronzing products"	"1 mg/kg"	"Not permitted for all products except if occurring in natural essences"	""	
"8-Methoxypsoralen"	"206-066-9"	"298-81-7"	"358"	"8-Methoxypsoralen"	"206-066-9"	"298-81-7"	""	"As all furocoumarines"	"Sun protection products and bronzing products"	"1 mg/kg"	"Not permitted for all products except if occurring in natural essences"	""	
"5-Methoxypsoralen"	"207-604-5"	"484-20-8"	"358"	"5-Methoxypsoralen"	"207-604-5"	"484-20-8"	""	"As all furocoumarines"	"Sun protection products and bronzing products"	"1 mg/kg"	"Not permitted for all products except if occurring in natural essences"	""	
"α-Chlorotoluene"	"202-853-6"	"100-44-7"	"650"	"α-Chlorotoluene"	"202-853-6"	"100-44-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"α,α-Dichlorotoluene"	"202-709-2"	"98-87-3"	"1126"	"α,α-Dichlorotoluene"	"202-709-2"	"98-87-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"α,α,α-Trichlorotoluene"	"202-634-5"	"98-07-7"	"649"	"α,α,α-Trichlorotoluene"	"202-634-5"	"98-07-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Zoxazolamine"	"200-519-4"	"61-80-3"	"24"	"Zoxazolamine"	"200-519-4"	"61-80-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Zirconium and its compounds, with the exception of the substances listed under reference number 50 in Annex III, and the zirconium lakes, pigments or salts of the colouring agents when listed in Annex IV"	"-"	"-"	"391"	"Zirconium and its compounds, with the exception of the substances listed under reference number 50 in Annex III, and the zirconium lakes, pigments or salts of the colouring agents when listed in Annex IV"	""	""	""	""	"All cosmetic products"	"0 %"	"Not permitted except for the substances listed under reference number 50 in Annex III, and the zirconium lakes, pigments, or salts of the colouring agents when listed in Annex IV"	""	
"Ziram"	"205-288-3"	"137-30-4"	"1016"	"Ziram"	"205-288-3"	"137-30-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Zinc borate"	"215-566-6"	"1332-07-6"	"1396"	"Zinc borate"	"215-566-6"	"1332-07-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Yohimbine"	"205-672-0"	"146-48-5"	"337"	"Yohimbine"	"205-672-0"	"146-48-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Xylometazoline"	"208-390-6"	"526-36-3"	"313"	"Xylometazoline"	"208-390-6"	"526-36-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Xylidines, all isomers"	"215-091-4"	"1300-73-8"	"33"	"Xylidines, all isomers"	"215-091-4"	"1300-73-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Xanthylium, 9-(2-carboxyphenyl)-3-((2-methylphenyl)amino)-6-((2-methyl-4-sulfophenyl)amino)-, inner salt"	"-"	"10213-95-3"	"1335"	"Xanthylium, 9-(2-carboxyphenyl)-3-((2-methylphenyl)amino)-6-((2-methyl-4-sulfophenyl)amino)-, inner salt"	""	"10213-95-3"	""	""	"Hair dye products"	"0 %"	""	""	
"Xanthylium, 9-(2-carboxyphenyl)-3-((2-methylphenyl)amino)-6-((2-methyl-4-sulfophenyl)amino)-, hydroxide, inner salt, monosodium salt"	"228-377-9"	"6252-76-2"	"1335"	"Xanthylium, 9-(2-carboxyphenyl)-3-((2-methylphenyl)amino)-6-((2-methyl-4-sulfophenyl)amino)-, hydroxide, inner salt, monosodium salt"	"228-377-9"	"6252-76-2"	""	""	"Hair dye products"	"0 %"	""	""	
"Waste solids, coal-tar pitch coking"	"295-549-8"	"92062-34-5"	"624"	"Waste solids, coal-tar pitch coking"	"295-549-8"	"92062-34-5"	""	""	"All cosmetic products"	"0 %"	"Not permitted if substance contain &gt; 0.005% (w/w) benzo[a]pyrene"	""	
"Warfarin"	"201-377-6"	"81-81-2"	"203"	"Warfarin"	"201-377-6"	"81-81-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Vinylidene chloride"	"200-864-0"	"75-35-4"	"126"	"Vinylidene chloride"	"200-864-0"	"75-35-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Vinyl chloride monomer"	"200-831-0"	"75-01-4"	"334"	"Vinyl chloride monomer"	"200-831-0"	"75-01-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Vinyl acetate"	"203-545-4"	"108-05-4"	"1565"	"Vinyl acetate"	"203-545-4"	"108-05-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Vinclozolin"	"256-599-6"	"50471-44-8"	"738"	"Vinclozolin"	"256-599-6"	"50471-44-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Verbena essential oils derivatives other than absolute"	"-"	"-"	"450"	"Verbena essential oils derivatives other than absolute"	""	""	""	""	"Fragrance ingredient"	"0 %"	""	""	
"Verbena essential oils"	"676-658-3"	"8024-12-2"	"450"	"Verbena essential oils"	""	"8024-12-2"	""	""	"Fragrance ingredient"	"0 %"	""	""	
"Veratrum spp. and their preparations"	"290-407-1"	"90131-91-2"	"333"	"Veratrum spp. and their preparations"	"290-407-1"	"90131-91-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Veratrine and its galenical preparations"	"617-100-0"	"8051-02-3"	"331"	"Veratrine and its galenical preparations"	"617-100-0"	"8051-02-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Valnoctamide"	"224-033-7"	"4171-13-5"	"184"	"Valnoctamide"	"224-033-7"	"4171-13-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Valinamide"	"402-840-7"	"20108-78-5"	"1039"	"Valinamide"	"402-840-7"	"20108-78-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Vaccines, toxins or serums defined as immunological medicinal products pursuant to Article 1 of Directive 2001/83/EC"	"-"	"-"	"323"	"Vaccines, toxins or serums defined as immunological medicinal products pursuant to Article 1 of Directive 2001/83/EC"	""	""	""	""	"All cosmetic products"	"0 %"	"For the individual ingredient see reference number 364 in Annex II."	""	
"UVCB condensation product of: tetrakis-hydroxymethylphosphonium chloride, urea and distilled hydrogenated C16-18 tallow alkylamine"	"422-720-8"	"166242-53-1"	"1029"	"UVCB condensation product of: tetrakis-hydroxymethylphosphonium chloride, urea and distilled hydrogenated C16-18 tallow alkylamine"	"422-720-8"	"166242-53-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Urginea scilla Steinh. and its galenical preparations"	"283-520-2"	"84650-62-4"	"330"	"Urginea scilla Steinh. and its galenical preparations"	"283-520-2"	"84650-62-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Urethane"	"200-123-1"	"51-79-6"	"671"	"Urethane"	"200-123-1"	"51-79-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tuaminoheptane"	"204-655-5"	"123-82-0"	"27"	"Tuaminoheptane"	"204-655-5"	"123-82-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trixylyl phosphate"	"246-677-8"	"25155-23-1"	"1545"	"Trixylyl phosphate"	"246-677-8"	"25155-23-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tritolyl phosphate"	"215-548-8"	"1330-78-5"	"277"	"Tritolyl phosphate"	"215-548-8"	"1330-78-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxonaphthalene-2-sulphonato(2-)-N5,O6]ferrate(3-)"	"243-010-2"	"19381-50-1"	"1342"	"Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxonaphthalene-2-sulphonato(2-)-N5,O6]ferrate(3-)"	"243-010-2"	"19381-50-1"	""	""	"Hair dye products"	"0 %"	""	""	
"Trisodium nitrilotriacetate"	"225-768-6"	"5064-31-3"	"1490"	"Trisodium nitrilotriacetate"	"225-768-6"	"5064-31-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trisodium bis(7-acetamido-2-(4-nitro-2-oxidophenylazo)-3-sulfonato-1-naphtholato)chromate(1-)"	"-"	"148262-86-6"	"1131"	"Trisodium bis(7-acetamido-2-(4-nitro-2-oxidophenylazo)-3-sulfonato-1-naphtholato)chromate(1-)"	""	"148262-86-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trisodium [4'-(8-acetylamino-3,6-disulfonato-2-naphthylazo)-4''-(6-benzoylamino-3-Sulfonato-2-naphthylazo)-biphenyl-1,3',3'',1'''-tetraolato-O,O',O'',O'''] copper(II)"	"413-590-3"	"164058-22-4"	"758"	"Trisodium [4&#39;-(8-acetylamino-3,6-disulfonato-2-naphthylazo)-4&#39;&#39;-(6-benzoylamino-3-Sulfonato-2-naphthylazo)-biphenyl-1,3&#39;,3&#39;&#39;,1&#39;&#39;&#39;-tetraolato-O,O&#39;,O&#39;&#39;,O&#39;&#39;&#39;] copper(II)"	"413-590-3"	"164058-22-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trisodium 8-hydroxypyrene-1,3,6-trisulphonate"	"228-783-6"	"6358-69-6"	"1362"	"Trisodium 8-hydroxypyrene-1,3,6-trisulphonate"	"228-783-6"	"6358-69-6"	""	""	"Hair dye products"	"0 %"	""	""	
"Trisodium 3-hydroxy-4-(4-sulphonatonaphthylazo)naphthalene-2,7-disulphonate"	"213-022-2"	"915-67-3"	"1350"	"Trisodium 3-hydroxy-4-(4-sulphonatonaphthylazo)naphthalene-2,7-disulphonate"	"213-022-2"	"915-67-3"	""	""	"Hair dye products"	"0 %"	""	""	
"Tris[2-chloro-1-(chloromethyl)ethyl] phosphate"	"237-159-2"	"13674-87-8"	"1543"	"Tris[2-chloro-1-(chloromethyl)ethyl] phosphate"	"237-159-2"	"13674-87-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tris(2-methoxyethoxy) vinylsilane"	"213-934-0"	"1067-53-4"	"1659"	"Tris(2-methoxyethoxy) vinylsilane"	"213-934-0"	"1067-53-4"	""	""	"All cosmetic products"	"0 %"	""	"Applies from 1 March 2022"	
"tris(2-Chloroethyl) phosphate"	"204-118-5"	"115-96-8"	"1004"	"tris(2-Chloroethyl) phosphate"	"204-118-5"	"115-96-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tripelennamine"	"202-100-1"	"91-81-6"	"347"	"Tripelennamine"	"202-100-1"	"91-81-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Triparanol"	"201-115-0"	"78-41-1"	"92"	"Triparanol"	"201-115-0"	"78-41-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trioxysalen"	"223-459-0"	"3902-71-4"	"358"	"Trioxysalen"	"223-459-0"	"3902-71-4"	""	""	"All cosmetic products except sun protection and bronzing products"	"0 %"	"Not permitted for all products except if occurring in natural essences"	""	
"Trioxymethylene"	"203-812-5"	"110-88-3"	"1177"	"Trioxymethylene"	"203-812-5"	"110-88-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trioctyldodecyl borate"	"-"	"-"	"1396"	"Trioctyldodecyl borate"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Trinickel tetrasulfide"	"-"	"12137-12-1"	"1447"	"Trinickel tetrasulfide"	""	"12137-12-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trinickel disulphide"	"234-829-6"	"12035-72-2"	"458"	"Trinickel disulphide"	"234-829-6"	"12035-72-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trinickel boride"	"234-495-1"	"12007-02-2"	"1462"	"Trinickel boride"	"234-495-1"	"12007-02-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trinickel bis(orthophosphate)"	"233-844-5"	"10381-36-9"	"1438"	"Trinickel bis(orthophosphate)"	"233-844-5"	"10381-36-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trinickel bis(arsenite)"	"-"	"74646-29-0"	"1448"	"Trinickel bis(arsenite)"	""	"74646-29-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trinickel bis(arsenate)"	"236-771-7"	"13477-70-8"	"1444"	"Trinickel bis(arsenate)"	"236-771-7"	"13477-70-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trimethylopropane tri(3-aziridinylpropanoate)"	"257-765-0"	"52234-82-9"	"1532"	"Trimethylopropane tri(3-aziridinylpropanoate)"	"257-765-0"	"52234-82-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trihydrogen hydroxybis[orthosilicato(4-)]trinickelate(3-)"	"235-688-3"	"12519-85-6"	"1442"	"Trihydrogen hydroxybis[orthosilicato(4-)]trinickelate(3-)"	"235-688-3"	"12519-85-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Triflusulfuron-methyl"	"603-146-9"	"126535-15-7"	"1586"	"Triflusulfuron-methyl"	"603-146-9"	"126535-15-7"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trifluralin (ISO)"	"216-428-8"	"1582-09-8"	"1498"	"Trifluralin (ISO)"	"216-428-8"	"1582-09-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trifluperidol"	"-"	"749-13-3"	"188"	"Trifluperidol"	""	"749-13-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trifluoroiodomethane"	"219-014-5"	"2314-97-8"	"1046"	"Trifluoroiodomethane"	"219-014-5"	"2314-97-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Triflumizole (ISO)"	"614-708-8"	"68694-11-1"	"1640"	"Triflumizole (ISO)"	"614-708-8"	"68694-11-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tridemorph"	"246-347-3"	"24602-86-6"	"737"	"Tridemorph"	"246-347-3"	"24602-86-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trichloronitromethane"	"200-930-9"	"76-06-2"	"325"	"Trichloronitromethane"	"200-930-9"	"76-06-2"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trichloromethylstannane"	"213-608-8"	"993-16-8"	"1554"	"Trichloromethylstannane"	"213-608-8"	"993-16-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trichloroethylene"	"201-167-4"	"79-01-6"	"645"	"Trichloroethylene"	"201-167-4"	"79-01-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trichloroacetic acid"	"200-927-2"	"76-03-9"	"10"	"Trichloroacetic acid"	"200-927-2"	"76-03-9"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trichlormethine hydrochloride"	"212-442-3"	"817-09-4"	"327"	"Trichlormethine hydrochloride"	"212-442-3"	"817-09-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Trichlormethine"	"-"	"555-77-1"	"327"	"Trichlormethine"	""	"555-77-1"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tributyltin compounds"	"-"	"-"	"1581"	"Tributyltin compounds"	""	""	""	""	"All cosmetic products"	"0 %"	""	""	
"Tributyl phosphate"	"204-800-2"	"126-73-8"	"1166"	"Tributyl phosphate"	"204-800-2"	"126-73-8"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tribromsalan"	"201-723-6"	"87-10-5"	"373"	"Tribromsalan"	"201-723-6"	"87-10-5"	""	""	"All cosmetic products"	"0 %"	""	""	
"Triamterene"	"206-904-3"	"396-01-0"	"275"	"Triamterene"	"206-904-3"	"396-01-0"	""	""	"All cosmetic products"	"0 %"	""	""	
"Triammonium 4-[4-[7-(4-carboxylatoanilino)-1-hydroxy-3-sulfonato-2-naphthylazo]-2,5-dimethoxyphenylazo]benzoate"	"432-270-4"	"221354-37-6"	"1500"	"Triammonium 4-[4-[7-(4-carboxylatoanilino)-1-hydroxy-3-sulfonato-2-naphthylazo]-2,5-dimethoxyphenylazo]benzoate"	"432-270-4"	"221354-37-6"	""	""	"All cosmetic products"	"0 %"	""	""	
"Triadimenol (ISO)"	"259-537-6"	"55219-65-3"	"1609"	"Triadimenol (ISO)"	"259-537-6"	"55219-65-3"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tretinoin"	"206-129-0"	"302-79-4"	"375"	"Tretinoin"	"206-129-0"	"302-79-4"	""	""	"All cosmetic products"	"0 %"	""	""	
"Tretamine"	"200-083-5"	"51-18-3"	"328"	"Tretamine"	"200-083-5"	"51-18-3"	""	""	"All cosmetic products"	"0 %"	""	""	
